Period,Average_electricity_cost_KES_kWh,DL,DL2,DC,SC1,SC3,CI1,CI2,CI3,CI4,CI5,CI6,EM,IT,DL_Peak,DL_Off_peak,DL2_Peak,DL2_Off_peak,DC_Peak,DC_Off_peak,SC1_Peak,SC1_Off_peak,SC3_Peak,SC3_Off_peak,CI1_Peak,CI1_Off_peak,CI4_Peak,CI4_Off_peak,CI5_Peak,CI5_Off_peak,EM_Peak,EM_Off_peak,IT_Peak,IT_Off_peak,Notes
2026-06,19.60,24.88,27.38,19.77,27.90,21.17,13.04,19.63,12.27,19.04,11.98,18.73,11.82,18.42,11.66,17.01,13.89,24.27,14.59,-,,,,,,,,,,,,,,,
2026-05,19.90,25.17,27.68,20.07,28.20,21.47,13.34,19.92,12.56,19.34,12.27,19.02,12.12,18.71,11.96,17.31,14.18,24.57,14.89,-,,,,,,,,,,,,,,,
2026-04,20.50,25.78,28.28,20.67,28.80,22.08,13.95,20.53,13.17,19.95,12.88,19.63,12.72,19.32,12.57,17.91,14.79,25.17,15.49,-,,,,,,,,,,,,,,,
2026-03,20.67,25.95,28.45,20.84,28.97,22.24,14.11,20.69,13.34,20.11,13.05,19.80,12.89,19.48,12.73,18.08,14.96,25.34,15.66,-,,,,,,,,,,,,,,,
2026-02,20.04,25.32,27.82,20.21,28.34,21.62,13.49,20.07,12.71,19.49,12.42,19.17,12.26,18.86,12.11,17.45,14.33,24.71,15.03,-,,,,,,,,,,,,,,,
2026-01,20.81,26.09,28.59,20.98,29.11,22.38,14.25,20.83,13.48,20.25,13.19,19.94,13.03,19.62,12.87,18.22,15.10,25.48,15.80,-,,,,,,,,,,,,,,,
2025-12,19.87,25.15,27.65,20.04,28.17,21.44,13.31,19.89,12.54,19.31,12.25,19.00,12.09,18.68,11.93,17.28,14.16,24.54,14.86,-,,,,,,,,,,,,,,,
2025-11,20.60,25.88,28.38,20.77,28.90,22.17,14.04,20.63,13.27,20.05,12.98,19.73,12.82,19.42,12.66,18.01,14.89,25.27,15.59,-,,,,,,,,,,,,,,,
2025-10,21.04,26.32,28.82,21.21,29.34,22.61,14.48,21.06,13.71,20.48,13.42,20.17,13.26,19.85,13.10,18.45,15.33,25.71,16.03,-,,,,,,,,,,,,,,,
2025-09,20.21,25.48,27.99,20.37,28.51,21.78,13.65,20.23,12.87,19.65,12.58,19.33,12.43,19.02,12.27,17.62,14.49,24.88,15.20,-,,,,,,,,,,,,,,,
2025-08,19.92,25.19,27.70,20.09,28.22,21.49,13.36,19.94,12.58,19.36,12.29,19.05,12.14,18.73,11.98,17.33,14.21,24.59,14.91,-,,,,,,,,,,,,,,,
2025-07,20.50,25.78,28.28,20.67,28.80,22.07,13.94,20.52,13.17,19.94,12.88,19.63,12.72,19.32,12.56,17.91,14.79,25.17,15.49,-,,,,,,,,,,,,,,,
2025-06,20.40,25.62,28.69,20.40,29.08,22.23,13.92,20.66,13.13,20.03,12.82,19.74,12.67,19.40,12.50,17.71,14.58,24.97,15.29,-,,,,,,,,,,,,,,,
